scenario,round,client,value
label_skew,1,client_1,0.02894166666666667
label_skew,1,client_2,0.024991666666666662
label_skew,1,client_3,0.03704166666666666
label_skew,1,client_4,0.013825000000000004
label_skew,2,client_1,0.22226666666666667
label_skew,2,client_2,0.1578333333333333
label_skew,2,client_3,0.10678333333333336
label_skew,2,client_4,0.0715166666666667
label_skew,3,client_1,0.21165
label_skew,3,client_2,0.18630000000000002
label_skew,3,client_3,0.0966
label_skew,3,client_4,0.07024999999999999
label_skew,4,client_1,0.23043333333333335
label_skew,4,client_2,0.20886666666666667
label_skew,4,client_3,0.12366666666666663
label_skew,4,client_4,0.08683333333333333
label_skew,5,client_1,0.24130833333333332
label_skew,5,client_2,0.20907500000000004
label_skew,5,client_3,0.12260833333333332
label_skew,5,client_4,0.08590833333333331
quantity_skew,1,client_1,0.36467499999999997
quantity_skew,1,client_2,0.3037916666666667
quantity_skew,1,client_3,0.11940833333333332
quantity_skew,1,client_4,0.016825000000000027
quantity_skew,2,client_1,0.3214333333333334
quantity_skew,2,client_2,0.28898333333333337
quantity_skew,2,client_3,0.15621666666666664
quantity_skew,2,client_4,0.08436666666666669
quantity_skew,3,client_1,0.29346666666666665
quantity_skew,3,client_2,0.26893333333333336
quantity_skew,3,client_3,0.1876
quantity_skew,3,client_4,0.11330000000000001
quantity_skew,4,client_1,0.2808833333333334
quantity_skew,4,client_2,0.2578666666666666
quantity_skew,4,client_3,0.18765
quantity_skew,4,client_4,0.14659999999999995
quantity_skew,5,client_1,0.281475
quantity_skew,5,client_2,0.26002499999999995
quantity_skew,5,client_3,0.20567499999999997
quantity_skew,5,client_4,0.13032499999999997
pairwise_overlap_0,1,client_1,0.25673333333333337
pairwise_overlap_0,1,client_2,0.2696833333333333
pairwise_overlap_0,1,client_3,0.26708333333333334
pairwise_overlap_0,2,client_1,0.27691666666666664
pairwise_overlap_0,2,client_2,0.27741666666666664
pairwise_overlap_0,2,client_3,0.28096666666666664
pairwise_overlap_0,3,client_1,0.2866666666666666
pairwise_overlap_0,3,client_2,0.28611666666666663
pairwise_overlap_0,3,client_3,0.2855166666666666
pairwise_overlap_0,4,client_1,0.2901333333333333
pairwise_overlap_0,4,client_2,0.2879833333333333
pairwise_overlap_0,4,client_3,0.2911833333333333
pairwise_overlap_0,5,client_1,0.28886666666666666
pairwise_overlap_0,5,client_2,0.2929666666666666
pairwise_overlap_0,5,client_3,0.28946666666666665
global_overlap_0,1,client_1,0.2493
global_overlap_0,1,client_2,0.2654
global_overlap_0,1,client_3,0.2679999999999999
global_overlap_0,2,client_1,0.2763166666666666
global_overlap_0,2,client_2,0.28321666666666667
global_overlap_0,2,client_3,0.2796666666666667
