scenario,round,client,value
label_skew,1,client_1,0.034533333333333346
label_skew,1,client_2,0.033683333333333336
label_skew,1,client_3,0.0377
label_skew,1,client_4,-0.0011166666666666686
label_skew,2,client_1,0.1816416666666667
label_skew,2,client_2,0.15642499999999998
label_skew,2,client_3,0.07892500000000002
label_skew,2,client_4,0.03660833333333334
label_skew,3,client_1,0.07282499999999997
label_skew,3,client_2,0.052591666666666634
label_skew,3,client_3,-0.051275000000000015
label_skew,3,client_4,-0.06774166666666666
label_skew,4,client_1,0.09926666666666667
label_skew,4,client_2,0.08131666666666666
label_skew,4,client_3,-0.033366666666666704
label_skew,4,client_4,-0.062216666666666684
label_skew,5,client_1,0.07270833333333332
label_skew,5,client_2,0.05309166666666666
label_skew,5,client_3,-0.04070833333333332
label_skew,5,client_4,-0.07599166666666668
quantity_skew,1,client_1,0.3298416666666667
quantity_skew,1,client_2,0.2807916666666667
quantity_skew,1,client_3,0.16829166666666664
quantity_skew,1,client_4,0.025775000000000013
quantity_skew,2,client_1,0.027700000000000002
quantity_skew,2,client_2,0.01683333333333335
quantity_skew,2,client_3,0.0004833333333333356
quantity_skew,2,client_4,0.0012833333333333214
quantity_skew,3,client_1,0.014741666666666651
quantity_skew,3,client_2,-0.0004416666666666551
quantity_skew,3,client_3,-0.0002416666666666771
quantity_skew,3,client_4,-0.001758333333333343
quantity_skew,4,client_1,0.006600000000000041
quantity_skew,4,client_2,0.004149999999999996
quantity_skew,4,client_3,-0.00014999999999999289
quantity_skew,4,client_4,-0.0009000000000000025
quantity_skew,5,client_1,0.006024999999999974
quantity_skew,5,client_2,0.0006416666666666422
quantity_skew,5,client_3,-0.0012583333333333337
quantity_skew,5,client_4,-0.0009083333333333349
pairwise_overlap_0,1,client_1,0.25415
pairwise_overlap_0,1,client_2,0.27104999999999996
pairwise_overlap_0,1,client_3,0.26830000000000004
pairwise_overlap_0,2,client_1,0.015333333333333327
pairwise_overlap_0,2,client_2,0.0105333333333333
pairwise_overlap_0,2,client_3,0.015933333333333317
pairwise_overlap_0,3,client_1,0.0057666666666666795
pairwise_overlap_0,3,client_2,0.01046666666666666
pairwise_overlap_0,3,client_3,0.00676666666666668
pairwise_overlap_0,4,client_1,0.0034500000000000086
pairwise_overlap_0,4,client_2,0.0058000000000000265
pairwise_overlap_0,4,client_3,0.0017499999999999736
pairwise_overlap_0,5,client_1,6.666666666669619e-05
pairwise_overlap_0,5,client_2,-0.0006833333333333321
pairwise_overlap_0,5,client_3,0.002616666666666638
global_overlap_0,1,client_1,0.24136666666666667
global_overlap_0,1,client_2,0.2690166666666666
global_overlap_0,1,client_3,0.2723166666666666
global_overlap_0,2,client_1,0.016600000000000024
global_overlap_0,2,client_2,0.018849999999999995
global_overlap_0,2,client_3,0.02104999999999998
global_overlap_0,3,client_1,0.003833333333333374
global_overlap_0,3,client_2,0.008483333333333305
global_overlap_0,3,client_3,0.005383333333333369
global_overlap_0,4,client_1,0.0027833333333333226
global_overlap_0,4,client_2,0.0029833333333333005
global_overlap_0,4,client_3,0.00473333333333333
global_overlap_0,5,client_1,-0.0002666666666666928
global_overlap_0,5,client_2,0.0034833333333333383
global_overlap_0,5,client_3,0.0007833333333333581
pairwise_overlap_25,1,client_1,0.24043333333333333
pairwise_overlap_25,1,client_2,0.27528333333333327
pairwise_overlap_25,1,client_3,0.26468333333333327
pairwise_overlap_25,2,client_1,0.016850000000000014
pairwise_overlap_25,2,client_2,0.024
pairwise_overlap_25,2,client_3,0.01754999999999999
pairwise_overlap_25,3,client_1,0.004549999999999961
pairwise_overlap_25,3,client_2,0.009949999999999976
pairwise_overlap_25,3,client_3,0.003399999999999977
pairwise_overlap_25,4,client_1,0.0040500000000000345
pairwise_overlap_25,4,client_2,0.0033000000000000065
pairwise_overlap_25,4,client_3,-0.001049999999999958
pairwise_overlap_25,5,client_1,0.0002833333333333392
pairwise_overlap_25,5,client_2,0.005983333333333321
pairwise_overlap_25,5,client_3,0.0018333333333333348
global_overlap_25,1,client_1,0.24325
global_overlap_25,1,client_2,0.26669999999999994
global_overlap_25,1,client_3,0.24705
global_overlap_25,2,client_1,0.024649999999999984
global_overlap_25,2,client_2,0.01794999999999995
global_overlap_25,2,client_3,0.027599999999999993
global_overlap_25,3,client_1,0.007499999999999969
global_overlap_25,3,client_2,0.01115000000000001
global_overlap_25,3,client_3,0.011750000000000002
global_overlap_25,4,client_1,0.002749999999999993
global_overlap_25,4,client_2,0.00535000000000004
global_overlap_25,4,client_3,0.0016000000000000085
global_overlap_25,5,client_1,-0.0010833333333333064
global_overlap_25,5,client_2,0.0004166666666666392
global_overlap_25,5,client_3,0.0054666666666666934
pairwise_overlap_50,1,client_1,0.2433833333333333
pairwise_overlap_50,1,client_2,0.26278333333333337
pairwise_overlap_50,1,client_3,0.2643333333333333
pairwise_overlap_50,2,client_1,0.018383333333333345
pairwise_overlap_50,2,client_2,0.020883333333333347
pairwise_overlap_50,2,client_3,0.029133333333333324
pairwise_overlap_50,3,client_1,0.005250000000000014
pairwise_overlap_50,3,client_2,0.005250000000000013
pairwise_overlap_50,3,client_3,0.004399999999999997
pairwise_overlap_50,4,client_1,0.005033333333333334
pairwise_overlap_50,4,client_2,0.004033333333333278
pairwise_overlap_50,4,client_3,0.002933333333333288
pairwise_overlap_50,5,client_1,-0.0010166666666666657
pairwise_overlap_50,5,client_2,0.003483333333333338
pairwise_overlap_50,5,client_3,0.0025333333333333314
global_overlap_50,1,client_1,0.2383833333333333
global_overlap_50,1,client_2,0.2510333333333333
global_overlap_50,1,client_3,0.2700833333333333
global_overlap_50,2,client_1,0.023550000000000015
global_overlap_50,2,client_2,0.026500000000000024
global_overlap_50,2,client_3,0.03325
global_overlap_50,3,client_1,0.0037500000000000124
global_overlap_50,3,client_2,0.002449999999999989
global_overlap_50,3,client_3,0.008199999999999966
global_overlap_50,4,client_1,0.0031499999999999857
