Scenario,Num Clients,Runtime (seconds)
quantity_skew,4,127.08374500274658
pairwise_overlap_0,3,16237.421584129333
global_overlap_0,3,532.3086171150208
pairwise_overlap_25,3,165.3513469696045
global_overlap_25,3,123.71670794487
pairwise_overlap_50,3,123.48329305648804
global_overlap_50,3,124.34353113174438
pairwise_overlap_75,3,122.80529999732971
global_overlap_75,3,127.60931897163391
pairwise_overlap_100,3,135.6128749847412
global_overlap_100,3,131.72524499893188
noniid_pairwise_overlap_0,3,447.2711901664734
noniid_global_overlap_0,3,166.66506123542786
noniid_pairwise_overlap_25,3,440.27502608299255
noniid_global_overlap_25,3,145.12705612182617
noniid_pairwise_overlap_50,3,442.2625570297241
noniid_global_overlap_50,3,150.1489279270172
noniid_pairwise_overlap_75,3,418.8098270893097
noniid_global_overlap_75,3,159.64154291152954
noniid_pairwise_overlap_100,3,460.62570810317993
noniid_global_overlap_100,3,134.85401701927185
