scenario,method,round,client,value
pairwise_overlap_0,exhaustive,1,client_1,0.25033333333333324
pairwise_overlap_0,exhaustive,1,client_2,0.2647333333333333
pairwise_overlap_0,exhaustive,1,client_3,0.25453333333333333
pairwise_overlap_0,exhaustive,2,client_1,0.2775166666666667
pairwise_overlap_0,exhaustive,2,client_2,0.27904999999999996
pairwise_overlap_0,exhaustive,2,client_3,0.2849833333333333
pairwise_overlap_0,exhaustive,3,client_1,0.28406666666666663
pairwise_overlap_0,exhaustive,3,client_2,0.28965
pairwise_overlap_0,exhaustive,3,client_3,0.2882666666666666
pairwise_overlap_0,exhaustive,4,client_1,0.29045000000000004
pairwise_overlap_0,exhaustive,4,client_2,0.2862333333333333
pairwise_overlap_0,exhaustive,4,client_3,0.29383333333333334
pairwise_overlap_0,exhaustive,5,client_1,0.29206666666666664
pairwise_overlap_0,exhaustive,5,client_2,0.29183333333333333
pairwise_overlap_0,exhaustive,5,client_3,0.2902666666666666
global_overlap_0,exhaustive,1,client_1,0.2431833333333333
global_overlap_0,exhaustive,1,client_2,0.26330000000000003
global_overlap_0,exhaustive,1,client_3,0.2679666666666667
global_overlap_0,exhaustive,2,client_1,0.2782833333333333
global_overlap_0,exhaustive,2,client_2,0.2816
global_overlap_0,exhaustive,2,client_3,0.28276666666666667
global_overlap_0,exhaustive,3,client_1,0.28681666666666666
global_overlap_0,exhaustive,3,client_2,0.28345
global_overlap_0,exhaustive,3,client_3,0.29033333333333333
global_overlap_0,exhaustive,4,client_1,0.2893
global_overlap_0,exhaustive,4,client_2,0.2893333333333333
global_overlap_0,exhaustive,4,client_3,0.29115
global_overlap_0,exhaustive,5,client_1,0.2910333333333333
global_overlap_0,exhaustive,5,client_2,0.29105
global_overlap_0,exhaustive,5,client_3,0.29188333333333333
pairwise_overlap_25,exhaustive,1,client_1,0.25055
pairwise_overlap_25,exhaustive,1,client_2,0.2706333333333334
pairwise_overlap_25,exhaustive,1,client_3,0.23365
pairwise_overlap_25,exhaustive,2,client_1,0.2776666666666667
pairwise_overlap_25,exhaustive,2,client_2,0.28329999999999994
pairwise_overlap_25,exhaustive,2,client_3,0.28071666666666667
pairwise_overlap_25,exhaustive,3,client_1,0.28611666666666663
pairwise_overlap_25,exhaustive,3,client_2,0.28485000000000005
pairwise_overlap_25,exhaustive,3,client_3,0.29024999999999995
pairwise_overlap_25,exhaustive,4,client_1,0.28881666666666667
pairwise_overlap_25,exhaustive,4,client_2,0.2906833333333333
pairwise_overlap_25,exhaustive,4,client_3,0.2892166666666667
pairwise_overlap_25,exhaustive,5,client_1,0.2908166666666667
pairwise_overlap_25,exhaustive,5,client_2,0.292
pairwise_overlap_25,exhaustive,5,client_3,0.29119999999999996
global_overlap_25,exhaustive,1,client_1,0.2631666666666666
global_overlap_25,exhaustive,1,client_2,0.2610333333333334
global_overlap_25,exhaustive,1,client_3,0.2494833333333333
global_overlap_25,exhaustive,2,client_1,0.27814999999999995
global_overlap_25,exhaustive,2,client_2,0.2815833333333333
global_overlap_25,exhaustive,2,client_3,0.27953333333333336
global_overlap_25,exhaustive,3,client_1,0.2842833333333333
global_overlap_25,exhaustive,3,client_2,0.28731666666666666
global_overlap_25,exhaustive,3,client_3,0.28836666666666666
global_overlap_25,exhaustive,4,client_1,0.29005
global_overlap_25,exhaustive,4,client_2,0.29091666666666666
global_overlap_25,exhaustive,4,client_3,0.2886333333333333
global_overlap_25,exhaustive,5,client_1,0.2926666666666667
global_overlap_25,exhaustive,5,client_2,0.2907166666666667
global_overlap_25,exhaustive,5,client_3,0.28985
pairwise_overlap_50,exhaustive,1,client_1,0.24488333333333334
pairwise_overlap_50,exhaustive,1,client_2,0.25115
pairwise_overlap_50,exhaustive,1,client_3,0.2541166666666667
pairwise_overlap_50,exhaustive,2,client_1,0.28200000000000003
pairwise_overlap_50,exhaustive,2,client_2,0.27826666666666666
pairwise_overlap_50,exhaustive,2,client_3,0.28351666666666664
pairwise_overlap_50,exhaustive,3,client_1,0.28725000000000006
pairwise_overlap_50,exhaustive,3,client_2,0.28689999999999993
pairwise_overlap_50,exhaustive,3,client_3,0.28583333333333333
pairwise_overlap_50,exhaustive,4,client_1,0.2871333333333333
pairwise_overlap_50,exhaustive,4,client_2,0.2897
pairwise_overlap_50,exhaustive,4,client_3,0.2910333333333333
pairwise_overlap_50,exhaustive,5,client_1,0.29058333333333336
pairwise_overlap_50,exhaustive,5,client_2,0.29093333333333327
pairwise_overlap_50,exhaustive,5,client_3,0.29216666666666663
global_overlap_50,exhaustive,1,client_1,0.24683333333333332
global_overlap_50,exhaustive,1,client_2,0.25065
global_overlap_50,exhaustive,1,client_3,0.2725166666666667
global_overlap_50,exhaustive,2,client_1,0.2776
